PicoQuant CPDL-S-F

HW-Rev.:	PQ.033.5200.0101
Serial-Num.:	916065:01037578
Ser.-Num. SEED LD:	21391:01035837
Ser.-Num. PUMP LD:	xxxxx:xxxxxxxx
Production Date:	03.04.2019
FW-Version:	0.98

Date	Time	STATE	SysHour	SysTemp	VCCIN	CURIN	PWRIN	SOURCE	EXT	INT	VCC	BOOST	REG	NBA	NBB	TEMP	setNBA	setNBB	setSMF	setSEF	setSEV	setSEC		Main power supply pump	Voltage at monitor diode	Pump temperature	Pump current	Stored value for REG	Stored value for Offset	Stored seed temperature	Stored pump temperature	Stored pump current
			h	oC	mV	mA	mW		Hz	Hz	mV	mV	mV	mV	mV	oC	mV	mV	Hz	Hz	mV			--	--	--	--	--	--	--	--	--
2019-09-30	10:16:15.284	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03511	03510	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:16.457	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03510	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:17.631	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03514	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:18.805	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03511	03510	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:19.979	IDLE	0000000473	24107	12342	00177	02184	EXT	0000000000	0080000000	04994	00000	00007	03503	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:21.153	IDLE	0000000473	23861	12347	00174	02148	EXT	0000000000	0080000000	04994	00000	00007	03504	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:22.325	IDLE	0000000473	23861	12342	00177	02184	EXT	0000000000	0080000000	04992	00000	00015	03508	03511	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:23.499	IDLE	0000000473	24107	12352	00177	02186	EXT	0000000000	0080000000	04994	00000	00007	03506	03507	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:24.672	IDLE	0000000473	24107	12352	00177	02186	EXT	0000000000	0080000000	04994	00000	00007	03508	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:25.845	IDLE	0000000473	23861	12352	00177	02185	EXT	0000000000	0080000000	04994	00000	00015	03507	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
